Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Status
embroidered-tunic-and-trouser-lounge-wear-5086,Embroidered Tunic and Trouser Lounge wear,<p>Embroidered Tunic and Trouser Lounge wear</p><p>100% Rayon</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,true,Size,S,CO05BE5086S,400,shopify,,deny,manual,,,true,true,active
embroidered-tunic-and-trouser-lounge-wear-5086,Embroidered Tunic and Trouser Lounge wear,<p>Embroidered Tunic and Trouser Lounge wear</p><p>100% Rayon</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,M,CO05BE5086M,400,shopify,,deny,manual,,,true,true,
embroidered-tunic-and-trouser-lounge-wear-5086,Embroidered Tunic and Trouser Lounge wear,<p>Embroidered Tunic and Trouser Lounge wear</p><p>100% Rayon</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,L,CO05BE5086L,400,shopify,,deny,manual,,,true,true,
embroidered-tunic-and-trouser-lounge-wear-5086,Embroidered Tunic and Trouser Lounge wear,<p>Embroidered Tunic and Trouser Lounge wear</p><p>100% Rayon</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,XL,CO05BE5086XL,400,shopify,,deny,manual,,,true,true,
floral-embroidered-shirt-with-trouser-co-ords-set-5087,Floral Embroidered Shirt With Trouser Co-Ords Set,<p>Floral Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,true,Size,S,CO00MV5087S,400,shopify,,deny,manual,,,true,true,active
floral-embroidered-shirt-with-trouser-co-ords-set-5087,Floral Embroidered Shirt With Trouser Co-Ords Set,<p>Floral Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,M,CO00MV5087M,400,shopify,,deny,manual,,,true,true,
floral-embroidered-shirt-with-trouser-co-ords-set-5087,Floral Embroidered Shirt With Trouser Co-Ords Set,<p>Floral Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,L,CO00MV5087L,400,shopify,,deny,manual,,,true,true,
floral-embroidered-shirt-with-trouser-co-ords-set-5087,Floral Embroidered Shirt With Trouser Co-Ords Set,<p>Floral Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,XL,CO00MV5087XL,400,shopify,,deny,manual,,,true,true,
black-rayon-applique-round-neck-tunic-with-trouser-5088,Black Rayon Applique Round Neck Tunic With Trouser,<p>Black Rayon Applique Round Neck Tunic With Trouser</p><p>100% Rayon</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,true,Size,S,CO05BK5088S,400,shopify,,deny,manual,,,true,true,active
black-rayon-applique-round-neck-tunic-with-trouser-5088,Black Rayon Applique Round Neck Tunic With Trouser,<p>Black Rayon Applique Round Neck Tunic With Trouser</p><p>100% Rayon</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,M,CO05BK5088M,400,shopify,,deny,manual,,,true,true,
black-rayon-applique-round-neck-tunic-with-trouser-5088,Black Rayon Applique Round Neck Tunic With Trouser,<p>Black Rayon Applique Round Neck Tunic With Trouser</p><p>100% Rayon</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,L,CO05BK5088L,400,shopify,,deny,manual,,,true,true,
black-rayon-applique-round-neck-tunic-with-trouser-5088,Black Rayon Applique Round Neck Tunic With Trouser,<p>Black Rayon Applique Round Neck Tunic With Trouser</p><p>100% Rayon</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,XL,CO05BK5088XL,400,shopify,,deny,manual,,,true,true,
floral-embroidered-shirt-with-trouser-co-ords-set-5003,Floral Embroidered Shirt With Trouser Co-Ords Set,<p>Floral Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,true,Size,S,CO00RT5003S,400,shopify,,deny,manual,,,true,true,active
floral-embroidered-shirt-with-trouser-co-ords-set-5003,Floral Embroidered Shirt With Trouser Co-Ords Set,<p>Floral Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,M,CO00RT5003M,400,shopify,,deny,manual,,,true,true,
floral-embroidered-shirt-with-trouser-co-ords-set-5003,Floral Embroidered Shirt With Trouser Co-Ords Set,<p>Floral Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,L,CO00RT5003L,400,shopify,,deny,manual,,,true,true,
floral-embroidered-shirt-with-trouser-co-ords-set-5003,Floral Embroidered Shirt With Trouser Co-Ords Set,<p>Floral Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,XL,CO00RT5003XL,400,shopify,,deny,manual,,,true,true,
floral-embroidered-shirt-with-trouser-co-ords-set-5003,Floral Embroidered Shirt With Trouser Co-Ords Set,<p>Floral Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,2XL,CO00RT5003XXL,400,shopify,,deny,manual,,,true,true,
floral-embroidered-shirt-with-trouser-co-ords-set-5004,Floral Embroidered Shirt With Trouser Co-Ords Set,<p>Floral Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,true,Size,S,CO00BK5004S,400,shopify,,deny,manual,,,true,true,active
floral-embroidered-shirt-with-trouser-co-ords-set-5004,Floral Embroidered Shirt With Trouser Co-Ords Set,<p>Floral Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,M,CO00BK5004M,400,shopify,,deny,manual,,,true,true,
floral-embroidered-shirt-with-trouser-co-ords-set-5004,Floral Embroidered Shirt With Trouser Co-Ords Set,<p>Floral Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,L,CO00BK5004L,400,shopify,,deny,manual,,,true,true,
floral-embroidered-shirt-with-trouser-co-ords-set-5004,Floral Embroidered Shirt With Trouser Co-Ords Set,<p>Floral Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,XL,CO00BK5004XL,400,shopify,,deny,manual,,,true,true,
